date, Education Spending (% of GDP), Annual Change,
1983/1/1,9.5632,,
1984/1/1,9.7622,0.2,
1985/1/1,10.6874,0.93,
1986/1/1,10.439,-0.25,
1987/1/1,9.4616,-0.98,
1988/1/1,10.7439,1.28,
1992/1/1,12.2905,1.55,
1993/1/1,14.7739,2.48,
1994/1/1,20.0649,5.29,
1995/1/1,18.7172,-1.35,
1996/1/1,19.5053,0.79,
1998/1/1,14.5514,-4.95,
1999/1/1,12.6316,-1.92,
2005/1/1,9.5,-3.13,
2006/1/1,9.32,-0.18, 
2007/1/1,8.42,-0.9, 
2008/1/1,14.3,5.88,
2009/1/1,13.51,-0.79,
2010/1/1,14.9621,1.45,
2011/1/1,12.987,-1.98,
2012/1/1,14.4802,1.49,
2013/1/1,13.4871,-0.99,
2014/1/1,12.8535,-0.63,
2015/1/1,12.1019,-0.75,
2016/1/1,11.8855,-0.22,
2017/1/1,11.5887,-0.3,
2018/1/1,10.7586,-0.83,
2019/1/1,11.23,0.47,
2020/1/1,10.53,-0.7,
