"","DATE","HK_EDU_SPEND","HK_ANNUAL_CHANGE","CH_EDU_SPEND","CH_ANNUAL_CHANGE","HK_GDPCAPITA","CH_GDPCAPITA","RGDPCHTWA625NUPN","HKspending_lag","HKcapita_lag","CHspending_lag","CHcapita_lag"
"1",1960-01-01,NA,NA,NA,NA,3280.379166,771.6597174,NA,NA,NA,NA,NA
"2",1961-01-01,NA,NA,NA,NA,3354.644147,622.9505215,NA,NA,3280.379166,NA,771.6597174
"3",1962-01-01,NA,NA,NA,NA,3711.853809,584.8025944,NA,NA,3354.644147,NA,622.9505215
"4",1963-01-01,NA,NA,NA,NA,4576.969983,615.7439068,NA,NA,3711.853809,NA,584.8025944
"5",1964-01-01,NA,NA,NA,NA,5106.811791,682.8791496,NA,NA,4576.969983,NA,615.7439068
"6",1965-01-01,NA,NA,NA,NA,5812.72883,731.3497731,NA,NA,5106.811791,NA,682.8791496
"7",1966-01-01,NA,NA,NA,NA,6066.618619,770.599657,NA,NA,5812.72883,NA,731.3497731
"8",1967-01-01,NA,NA,NA,NA,5879.401485,716.3740693,NA,NA,6066.618619,NA,770.599657
"9",1968-01-01,NA,NA,NA,NA,5900.564352,670.3247233,NA,NA,5879.401485,NA,716.3740693
"10",1969-01-01,NA,NA,NA,NA,6438.223739,734.38756,NA,NA,5900.564352,NA,670.3247233
"11",1970-01-01,NA,NA,NA,NA,6907.778078,818.8049145,NA,NA,6438.223739,NA,734.38756
"12",1971-01-01,NA,NA,NA,NA,7433.824524,840.815793,NA,NA,6907.778078,NA,818.8049145
"13",1972-01-01,NA,NA,NA,NA,8034.63801,842.0225488,NA,NA,7433.824524,NA,840.815793
"14",1973-01-01,NA,NA,NA,NA,8784.524536,884.0301249,NA,NA,8034.63801,NA,842.0225488
"15",1974-01-01,NA,NA,NA,NA,8700.745015,881.0570427,NA,NA,8784.524536,NA,884.0301249
"16",1975-01-01,NA,NA,NA,NA,8738.388512,925.8959189,NA,NA,8700.745015,NA,881.0570427
