DATE,RGDPCHHKA625NUPN
1960/1/1,3280.379166
1961/1/1,3354.644147
1962/1/1,3711.853809
1963/1/1,4576.969983
1964/1/1,5106.811791
1965/1/1,5812.72883
1966/1/1,6066.618619
1967/1/1,5879.401485
1968/1/1,5900.564352
1969/1/1,6438.223739
1970/1/1,6907.778078
1971/1/1,7433.824524
1972/1/1,8034.63801
1973/1/1,8784.524536
1974/1/1,8700.745015
1975/1/1,8738.388512
1976/1/1,9781.563277
1977/1/1,10971.92322
1978/1/1,11924.17823
1979/1/1,12610.13018
1980/1/1,13710.51429
1981/1/1,14659.00094
1982/1/1,14855.18259
1983/1/1,15183.03976
1984/1/1,16149.53391
1985/1/1,16151.32579
1986/1/1,17519.94619
1987/1/1,19553.985
1988/1/1,21099.34298
1989/1/1,21284.63943
1990/1/1,22241.19831
1991/1/1,23374.00057
1992/1/1,24540.21965
1993/1/1,25347.74288
1994/1/1,26561.78708
1995/1/1,26606.00274
1996/1/1,26887.97183
1997/1/1,28012.52461
1998/1/1,25935.94614
1999/1/1,26096.35541
2000/1/1,28011.21575
2001/1/1,27830.66136
2002/1/1,28036.58237
2003/1/1,28576.52902
2004/1/1,30626.31207
2005/1/1,32527.14758
2006/1/1,34704.88916
2007/1/1,36767.74432
2008/1/1,37317.88739
2009/1/1,36076.48798
2010/1/1,38684.72037
